                                                                                                                 Table 22
                                         U. S. Department of Interior - Bureau of Reclamation
                                                 Central Valley Operations Office

                                                       Friant-Kern Canal
                                                           2007
Monthly Deliveries in AF

Water User                   Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec   Total

Alpaugh ID                      0       0       0       0       0       0       0       0       0       0       0       0       0
Arvin-Edison WSD             5906    2238     537    3102    1329    1594     383     632    1918     134    2014       0   19787
Atwell Island WD                0       0       0       0       0       0       0       0       0       0       0       0       0
City of Bakersfiled             0       0       0       0       0       0       0       0       0       0       0       0       0
Corcoran ID                     0       0       0       0       0       0       0       0       0       0       0       0       0
Delano-Earlimart ID          1549    1742    4769    4949    9618   13600   14447   10031    6196    5165    1850       0   73916
Exeter ID                     594      19      32     435     637     754    1060    1371     968     814     102       0    6786
Frasinetto Farms (Frmly S       0       0       0       0       0       0      71      46      75       0       0       0     192
City of Fresno                843     210      56      11     123   17779   17078     771    1475     952      44       0   39342
County of Fresno SA #34         5       5      23      37      84      87      99      99      53      35      20       4     551
Fresno ID                      10       0       0       0       0       0       0       0       0       0       0       0      10
Garfield WD                    26      45     129     163     332     309     347     353     184     131      68       0    2087
Hills Valley ID               334       0      75     208     709     833    1015     930     679     429      82       0    5294
International WD                0       0       0       7     169     161     217     228     207      80       0       0    1069
Ivanhoe ID                      0       0       0     107     397     699     988    1145     833     396      29       0    4594
Kaweah Delta WCD                0       0       0       0       0       0       0       0       0       0       0       0       0
Kern County Water Agency        0       0       0       0       0       0       0       0       0       0       0       0       0
Kern-Delta                      0       0       0       0       0       0       0       0       0       0       0       0       0
Kern-Tulare WD                714     155    1127    2030    3784    4753    5123    4712    3188    2399    1252      18   29255
Kings County WD                 0       0       0       0       0       0       0       0       0       0       0       0       0
Kings River CD                  0       0       0       0       0       0       0       0       0       0       0       0       0
Lakeside WD                     0       0       0       0       0       0       0       0       0       0       0       0       0
Lewis Creek WD                  4       0       0       6      23      85     106     170     139      18       0       0     551
Lindmore ID                     0       0     722    1215    2237    3002    3425    3894    3483    1912     387       0   20277
City of Lindsay                 0     154     125      60     160     173     204     207     204     155     144       0    1586
Lindsay-Strathmore ID         914       0     348    1829    3218    1089    1877     720    3231    2097    1357      28   16708
Wutchumna (LSID non-proje     541     162     121       0       0    2670    2383    3681      31       0       0       0    9589
Lower Tule River ID          1067       0       0       0       0    6884   22584       0       0       0       0       0   30535
North-Kern  WSD             12244       8       0       0       0       0       0       0       0       0       0       0   12252
City of Orange Cove            97      74     125     153     214     283     267     259     226     164     359     129    2350
Orange Cove ID               1860      29     241    1087    2828    4092    4973    5067    3991    2251     540       0   26959
Pixley ID                       0       0       0       0       0       0       0    7200       0       0       0       0    7200
Porterville ID                  0       0       0       0    1384    2388    2374    1938     766       0       0       0    8850
Rag Gulch WD                  149      62     800     831    1279    1660    1823    1690    1075     544     315       5   10233
Rosedale Rio Bravo WSD          0       0       0       0       0       0       0       0       0       0       0       0       0
Saucelito ID                  410     752    1279     721    1210    2064    2570    3141    1350    1733     178       0   15408
Semitropic WSD               4180   15639       0       0       0       0       0       0       0       0       0       0   19819
Shafter Wasco ID             2468    4909    3873    2635    3346    3922    4145    3214    1925    2093    1781       0   34311
Southern San Joaquin MUD     2324    6417    4288    4613    8743   10682   12482    8922    5598    4336    1707       0   70112
Stone Corral ID               621      10      84     343     764     988    1097    1148     970     761     186       0    6972
Strathmore PUD                 29      20      24      33      54      58      61      61      51      31      13       0     435
Styro Tek, Inc.                 0       1       4       6       4       4       9      11      11       6       0       0      56
Tea Pot Dome WD               273       0       2      32     546     727     875    1121     890     536     274       0    5276
Terra Bella ID               1582     169     291    1145    2620    3047    3498    3416    2157    1119     453       2   19499
Tri-Valley WD                  50       0       0       0       4     126     175     175     146      68       6       0     750
Tulare ID                    6180   12658       0       0       0       0       0       0       0       0       0       0   18838
Tulare Lake Basin WSD           0       0       0       0       0       0       0       0       0       0       0       0       0

Total                       44974   45478   19075   25758   45816   84513  105756   66353   42020   28359   13161     186  521449

*  Data supplied by Fresno Field Division, Contracts Administration Division
