year,pa_code,pa_area,pa_cropland,pa_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2003,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2004,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2005,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2006,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2007,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2008,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2009,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2010,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2011,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2012,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2013,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2014,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2015,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2016,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2017,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2018,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2019,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2020,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2021,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1993,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1994,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1995,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1996,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1997,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1998,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1999,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2000,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2001,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2002,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2003,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2004,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2005,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2006,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2007,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2008,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2009,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2010,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2011,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2012,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2013,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2014,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2015,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2016,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2017,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2018,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2019,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2020,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
2021,102,18452.698128067,34.49140158388764,.0018691793,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,69147.75085293502,54195.25082086027,14952.50006903708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69147.75085293502,54195.25082086027,14952.50006051362,1,1,1,,,,
1993,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1994,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1995,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1996,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1997,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1998,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
1999,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2000,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2001,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2002,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2003,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2004,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2005,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
2006,103,17867.85724707579,6.781500053824857,.00037953627,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,41431.3006234616,13082.89986602962,28348.4007506147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41431.3006234616,13082.89986602962,28348.40075599402,1,1,1,,,,
